node,ordinal,facilities_seconds,proposals_seconds,signatures_seconds,total_seconds,next_start_gap_seconds
mc-candidate-1788738685-0,2,1.002,0.094,0.132,1.228,63.721
mc-candidate-1788738685-0,3,0.041,0.009,0.015,0.065,64.933
mc-candidate-1788738685-0,4,0.029,0.006,0.017,0.052,64.958
mc-candidate-1788738685-0,5,0.041,0.005,0.02,0.066,64.951
mc-candidate-1788738685-0,6,0.048,1.328,0.018,1.394,63.592
mc-candidate-1788738685-0,7,1.058,0.784,0.813,2.655,62.357
mc-candidate-1788738685-0,8,1.098,0.816,0.39,2.304,62.694
mc-candidate-1788738685-0,9,1.203,0.386,0.411,2,63.008
mc-candidate-1788738685-0,10,35.166,0.98,0.614,36.76,28.238
mc-candidate-1788738685-0,11,33.988,0.585,0.605,35.178,
mc-candidate-1788738685-2,6,57.14,0.022,1.181,58.343,63.561
mc-candidate-1788738685-2,7,0.03,0.983,1.253,2.266,62.739
mc-candidate-1788738685-2,8,0.314,0.989,0.201,1.504,63.503
mc-candidate-1788738685-2,9,0.349,0.588,0.411,1.348,63.656
mc-candidate-1788738685-2,10,34.883,0.22,1.176,36.279,28.72
mc-candidate-1788738685-2,11,33.507,0.59,0.401,34.498,30.508
mc-candidate-1788738685-1,6,55.563,0.808,0.85,57.221,63.155
mc-candidate-1788738685-1,7,0.646,1.188,0.624,2.458,62.548
mc-candidate-1788738685-1,8,1.237,0.108,1.221,2.566,62.442
mc-candidate-1788738685-1,9,1.008,0.17,0.62,1.798,63.206
mc-candidate-1788738685-1,10,35.431,0.564,0.403,36.398,28.604
mc-candidate-1788738685-1,11,33.851,0.378,0.614,34.843,
mc-candidate-1788738685-3,7,58.088,1.271,0.435,59.794,62.683
mc-candidate-1788738685-3,8,0.533,0.786,1.011,2.33,62.672
mc-candidate-1788738685-3,9,0.596,0.788,0.021,1.405,63.641
mc-candidate-1788738685-3,10,34.549,1.182,0.418,36.149,28.82
mc-candidate-1788738685-3,11,33.874,0.541,0.41,34.825,30.18
mc-candidate-1788738685-4,7,61.46,0.089,1.398,62.947,62.691
mc-candidate-1788738685-4,8,0.62,0.764,0.629,2.013,62.991
mc-candidate-1788738685-4,9,0.293,0.54,0.422,1.255,96.987
mc-candidate-1788738685-4,10,0.173,2.047,0.422,2.642,62.354
mc-candidate-1788738685-4,11,0.028,0.829,0.405,1.262,
