node,ordinal,facilities_seconds,proposals_seconds,signatures_seconds,total_seconds,next_start_gap_seconds
mc-mixed-1788739517-0,2,1.35,0.102,0.132,1.584,43.018
mc-mixed-1788739517-0,3,0.046,0.007,0.02,0.073,43.021
mc-mixed-1788739517-0,4,0.031,0.009,0.021,0.061,43.013
mc-mixed-1788739517-0,5,0.038,0.025,0.016,0.079,43.011
mc-mixed-1788739517-0,6,0.033,1.057,0.196,1.286,43.014
mc-mixed-1788739517-0,7,21.622,0.982,0.611,23.215,43.011
mc-mixed-1788739517-0,8,20.222,0.383,0.617,21.222,43.014
mc-mixed-1788739517-0,9,21.28,1.157,0.412,22.849,43.01
mc-mixed-1788739517-0,10,20.599,0.382,0.414,21.395,43.014
mc-mixed-1788739517-0,11,60.967,19.657,1.202,81.826,43.015
mc-mixed-1788739517-0,12,0.357,0.186,0.394,0.937,43.014
mc-mixed-1788739517-0,13,0.545,0.583,0.609,1.737,
mc-mixed-1788739517-4,7,56.446,1.036,0.647,58.129,42.247
mc-mixed-1788739517-4,8,21.139,0.376,0.608,22.123,42.888
mc-mixed-1788739517-4,9,21.757,0.176,1.016,22.949,42.05
mc-mixed-1788739517-4,10,21.202,0.772,0.428,22.402,148.289
mc-mixed-1788739517-2,6,41.907,0.222,0.885,43.014,63.671
mc-mixed-1788739517-2,7,0.037,1.272,0.615,1.924,63.08
mc-mixed-1788739517-2,8,0.043,0.695,0.615,1.353,63.654
mc-mixed-1788739517-2,9,0.04,1.51,0.635,2.185,62.818
mc-mixed-1788739517-2,10,0.035,0.971,0.626,1.632,63.374
mc-mixed-1788739517-2,11,60.072,0.008,1.375,61.455,3.55
mc-mixed-1788739517-2,12,39.702,0.305,0.214,40.221,24.78
mc-mixed-1788739517-2,13,18.78,0.781,0.21,19.771,
mc-mixed-1788739517-3,7,57.613,1.048,0.656,59.317,42.055
mc-mixed-1788739517-3,8,21.139,0.578,0.421,22.138,42.87
mc-mixed-1788739517-3,9,21.757,0.785,0.414,22.956,42.044
mc-mixed-1788739517-3,10,21.183,0.783,0.611,22.577,42.422
mc-mixed-1788739517-3,11,60.944,20.247,0.208,81.399,0.012
mc-mixed-1788739517-3,12,44.16,0.163,0.405,44.728,20.275
mc-mixed-1788739517-3,13,23.133,0.372,0.816,24.321,
mc-mixed-1788739517-1,6,42.339,0.026,1.182,43.547,43.028
mc-mixed-1788739517-1,7,20.774,0.387,1.423,22.584,43.012
mc-mixed-1788739517-1,8,20.03,0.574,0.62,21.224,43.02
mc-mixed-1788739517-1,9,21.41,0.582,0.812,22.804,43.013
mc-mixed-1788739517-1,10,20.432,0.582,0.408,21.422,43.014
mc-mixed-1788739517-1,11,60.378,20.463,1.009,81.85,43.014
mc-mixed-1788739517-1,12,0.162,0.374,0.205,0.741,43.015
mc-mixed-1788739517-1,13,0.35,0.779,0.613,1.742,
