node,ordinal,facilities_seconds,proposals_seconds,signatures_seconds,total_seconds,next_start_gap_seconds
mc-candidate-1788735394-4,7,56.388,0.648,1.033,58.069,6.897
mc-candidate-1788735394-4,8,56.553,0.371,1.023,57.947,7.056
mc-candidate-1788735394-4,9,56.01,0.571,0.616,57.197,7.804
mc-candidate-1788735394-4,10,95.606,0.038,21.361,117.005,
mc-candidate-1788735394-0,2,1.191,0.106,0.126,1.423,63.551
mc-candidate-1788735394-0,3,0.114,0.02,0.074,0.208,64.799
mc-candidate-1788735394-0,4,0.039,0.008,0.074,0.121,64.891
mc-candidate-1788735394-0,5,0.039,0.007,0.058,0.104,64.892
mc-candidate-1788735394-0,6,0.034,4.19,0.219,4.443,60.552
mc-candidate-1788735394-0,7,0.036,4.817,0.205,5.058,59.946
mc-candidate-1788735394-0,8,0.044,4.948,0.397,5.389,59.617
mc-candidate-1788735394-0,9,0.038,4.354,0.211,4.603,60.398
mc-candidate-1788735394-0,10,0.027,64.202,0.255,64.484,0.516
mc-candidate-1788735394-0,11,0.027,0.409,0.399,0.835,
mc-candidate-1788735394-2,6,60.257,0.465,0.196,60.918,4.043
mc-candidate-1788735394-2,7,60.783,0.787,0.606,62.176,2.827
mc-candidate-1788735394-2,8,60.229,1.374,0.616,62.219,2.785
mc-candidate-1788735394-2,9,60.475,0.378,0.607,61.46,3.545
mc-candidate-1788735394-2,10,60.289,60.407,0.623,121.319,0.009
mc-candidate-1788735394-2,11,0.596,0.387,0.197,1.18,63.822
mc-candidate-1788735394-1,6,60.674,0.083,0.392,61.149,3.824
mc-candidate-1788735394-1,7,61.169,0.164,0.809,62.142,2.87
mc-candidate-1788735394-1,8,60.812,0.972,0.406,62.19,2.808
mc-candidate-1788735394-1,9,60.646,0.575,0.029,61.25,3.752
mc-candidate-1788735394-1,10,60.467,60.023,0.581,121.071,0.007
mc-candidate-1788735394-1,11,0.811,0.388,0.21,1.409,
mc-candidate-1788735394-3,7,57.754,0.194,1.289,59.237,5.74
mc-candidate-1788735394-3,8,57.409,0.981,0.413,58.803,6.206
mc-candidate-1788735394-3,9,57.432,0.015,0.774,58.221,6.778
mc-candidate-1788735394-3,10,57.044,60.216,0.622,117.882,0.01
mc-candidate-1788735394-3,11,0.594,0.386,0.404,1.384,63.62
