node,ordinal,facilities_seconds,proposals_seconds,signatures_seconds,total_seconds,next_start_gap_seconds
mc-stock-1788733949-1,6,33.461,0.229,0.51,34.2,43.028
mc-stock-1788733949-1,7,0.099,1.174,1.023,2.296,43.014
mc-stock-1788733949-1,8,0.951,0.573,0.617,2.141,43.019
mc-stock-1788733949-1,9,0.753,0.586,0.407,1.746,43.016
mc-stock-1788733949-1,10,0.945,0.384,1.015,2.344,43.015
mc-stock-1788733949-1,11,60.065,1.073,0.802,61.94,43.013
mc-stock-1788733949-1,12,0.352,0.589,0.404,1.345,
mc-stock-1788733949-4,7,38.667,0.092,1.239,39.998,43.022
mc-stock-1788733949-4,8,0.699,1.186,0.414,2.299,43.012
mc-stock-1788733949-4,9,0.56,0.577,0.613,1.75,43.021
mc-stock-1788733949-4,10,0.955,0.167,0.818,1.94,97.773
mc-stock-1788733949-3,7,39.852,1.04,0.671,41.563,43.025
mc-stock-1788733949-3,8,0.875,0.769,0.224,1.868,43.018
mc-stock-1788733949-3,9,1.147,0.186,0.81,2.143,43.018
mc-stock-1788733949-3,10,0.354,0.961,0.213,1.528,43.014
mc-stock-1788733949-3,11,60.796,0.785,0.616,62.197,43.008
mc-stock-1788733949-3,12,0.762,0.164,0.807,1.733,43.011
mc-stock-1788733949-2,6,42.846,0.424,0.242,43.512,43.027
mc-stock-1788733949-2,7,0.488,1.593,0.409,2.49,43.012
mc-stock-1788733949-2,8,0.543,1.188,0.411,2.142,43.019
mc-stock-1788733949-2,9,0.941,0.386,0.413,1.74,43.018
mc-stock-1788733949-2,10,0.537,0.783,0.813,2.133,43.014
mc-stock-1788733949-2,11,60.622,0.183,1.22,62.025,43.007
mc-stock-1788733949-2,12,0.338,0.591,0.204,1.133,
mc-stock-1788733949-0,2,1.147,0.08,0.144,1.371,43.022
mc-stock-1788733949-0,3,0.037,0.005,0.102,0.144,43.017
mc-stock-1788733949-0,4,0.038,0.008,0.039,0.085,43.02
mc-stock-1788733949-0,5,0.038,0.007,0.025,0.07,43.015
mc-stock-1788733949-0,6,0.04,0.824,0.219,1.083,43.013
mc-stock-1788733949-0,7,0.348,1.781,0.205,2.334,43.01
mc-stock-1788733949-0,8,0.957,0.629,0.569,2.155,43.016
mc-stock-1788733949-0,9,0.96,0.384,0.61,1.954,43.013
mc-stock-1788733949-0,10,0.351,0.972,0.812,2.135,43.016
mc-stock-1788733949-0,11,60.157,0.779,0.612,61.548,43.013
mc-stock-1788733949-0,12,0.751,0.393,0.62,1.764,
